model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
glmboost_nnet,5,Ser+vEGFSeru,Ser+pAI1Seru,Ser+bDNFSeru,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmboost,10,Sal+cXCL16SAL,C+C_TbN,Sal+tRANCESAL,C+C_longRunHighGrey,demo+Age,Ser+mMP3Seru,Ser+mMP7Seru,Ser+pAI1Seru,C+C_lowGreyLevelRun,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmnet,15,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_rf,20,Sal+oPGSAL,C+C_longRunLowGreys,clinic+MuscleSore,Ser+vECadherinSeru,Af+Af_longRunHighGrey,Af+Af_BVTV,C+C_correlation,clinic+RestlessSleep,clinic+LowerBackPain,Ser+pAI1Seru,Af+Af_TbN,C+C_shortRunHighGrey,C+C_entropy,Af+Af_lowGreyLevelRun,Af+Af_longRunLowGrey,Af+Af_TbTh,C+C_highGreyLevelRun,Af+Af_shortRunHighGrey,clinic+MouthOpen,clinic+Headache,,,,,,,,,,,,,,,,,,,,
hdda_xgbTree,10,Af+Af_longRunHighGrey,clinic+LowerBackPain,C+C_BVTV,clinic+Headache,Af+Af_longRunLowGrey,clinic+RestlessSleep,Af+Af_TbTh,clinic+MuscleSore,C+C_correlation,C+C_entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_lda2,15,Ser+angiogeninSeru,clinic+MuscleSore,C+C_entropy,C+C_shortRunHighGrey,Ser+pAI1Seru,Af+Af_entropy,Ser+tIMP1Seru,C+C_runLengthNonunif,C+C_inertia,C+C_invDiffMoment,C+C_shortRunEmph,C+C_energy,C+C_TbSp,Af+Af_BSBV,C+C_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_nnet,10,C+C_shortRunLowGrey,Af+Af_TbTh,Af+Af_BSBV,Af+Af_longRunEmph,Af+Af_BVTV,Sal+oPGSAL,C+C_greyLevelNonunif,clinic+MouthOpen,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmboost,5,Af+Af_BVTV,Af+Af_longRunLowGrey,clinic+Headache,Sal+oPGSAL,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_rf,5,Af+Af_highGreyLevelRun,Af+Af_BVTV,Af+Af_lowGreyLevelRun,Af+Af_TbTh,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_xgbTree,20,C+C_highGreyLevelRun,C+C_lowGreyLevelRun,C+C_shortRunHighGrey,C+C_TbTh,clinic+Headache,C+C_longRunLowGreys,Af+Af_entropy,Af+Af_longRunHighGrey,Af+Af_TbTh,Af+Af_invDiffMoment,Af+Af_lowGreyLevelRun,Af+Af_correlation,Af+Af_shortRunHighGrey,Ser+eNA78Seru,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_shortRunEmph,C+C_shortRunLowGrey,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,
glmnet_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_nnet,10,Sal+vEGFSAL,C+C_shortRunHighGrey,Af+Af_correlation,C+C_shortRunLowGrey,Af+Af_BSBV,Ser+bDNFSeru,Sal+tGFb1SAL,Sal+oPGSAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmboost,20,clinic+MuscleSore,Af+Af_longRunLowGrey,C+C_invDiffMoment,Af+Af_invDiffMoment,C+C_longRunHighGrey,Af+Af_shortRunHighGrey,Ser+mMP3Seru,clinic+Headache,Sal+tIMP1SAL,Af+Af_BVTV,Ser+cXCL16Seru,clinic+LowerBackPain,Af+Af_longRunHighGrey,Af+Af_shortRunEmph,Ser+tIMP1Seru,Ser+angiogeninSeru,Sal+vECadherinSAL,C+C_BVTV,Af+Af_TbTh,Af+Af_shortRunLowGrey,,,,,,,,,,,,,,,,,,,,
svmLinear_glmnet,15,Sal+mMP7SAL,C+C_TbN,clinic+LowerBackPain,Af+Af_BVTV,Af+Af_correlation,Af+Af_shortRunEmph,clinic+Headache,JS+3D_Sc_Sf_JS,Ser+eNA78Seru,Af+Af_longRunHighGrey,Ser+bDNFSeru,Sal+angiogeninSAL,clinic+RestlessSleep,Af+Af_BSBV,Sal+vEGFSAL,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_rf,20,Sal+vECadherinSAL,Af+Af_shortRunHighGrey,Af+Af_energy,Af+Af_shortRunEmph,Af+Af_BSBV,Af+Af_TbSp,Ser+oPGSeru,Ser+tRANCESeru,C+C_correlation,Af+Af_longRunLowGrey,Sal+oPGSAL,Sal+angiogeninSAL,C+C_inertia,Ser+angiogeninSeru,C+C_shortRunLowGrey,clinic+MouthOpen,Sal+tGFb1SAL,clinic+LowerBackPain,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,
svmLinear_xgbTree,20,Ser+eNA78Seru,Ser+tGFb1Seru,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,clinic+Headache,Af+Af_TbTh,Sal+tGFb1SAL,Sal+angiogeninSAL,Sal+eNA78SAL,Af+Af_entropy,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Af+Af_shortRunLowGrey,Af+Af_lowGreyLevelRun,C+C_longRunEmph,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,clinic+RestlessSleep,Af+Af_BVTV,,,,,,,,,,,,,,,,,,,,
svmLinear_lda2,5,C+C_runLengthNonunif,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_nnet,5,C+C_shortRunLowGrey,C+C_highGreyLevelRun,Af+Af_longRunLowGrey,Af+Af_TbSp,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmboost,15,Sal+eNA78SAL,JS+3D_Sc_Sf_JS,Sal+angiogeninSAL,Ser+cXCL16Seru,Af+Af_TbSp,Af+Af_correlation,C+C_energy,Ser+vECadherinSeru,Af+Af_lowGreyLevelRun,Sal+vEGFSAL,Sal+oPGSAL,Af+Af_longRunLowGrey,clinic+Headache,Ser+pAI1Seru,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmnet,15,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
rf_rf,10,Sal+eNA78SAL,clinic+LowerBackPain,Sal+tRANCESAL,clinic+RestlessSleep,Sal+oPGSAL,clinic+MuscleSore,Af+Af_longRunLowGrey,clinic+MouthOpen,JS+3D_Sc_Sf_JS,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_xgbTree,15,Af+Af_highGreyLevelRun,C+C_invDiffMoment,Ser+eNA78Seru,Af+Af_shortRunHighGrey,Af+Af_lowGreyLevelRun,C+C_shortRunLowGrey,Af+Af_runLengthNonunif,Ser+angiogeninSeru,Ser+mMP3Seru,clinic+MouthOpen,Af+Af_shortRunEmph,C+C_TbTh,Af+Af_invDiffMoment,clinic+Headache,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
rf_lda2,10,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_correlation,clinic+Headache,Sal+vECadherinSAL,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_energy,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_nnet,5,Sal+vECadherinSAL,Sal+oPGSAL,Af+Af_BVTV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmboost,15,Af+Af_TbN,Af+Af_shortRunHighGrey,Ser+tIMP1Seru,Af+Af_inertia,Sal+eNA78SAL,C+C_shortRunHighGrey,clinic+MuscleSore,Ser+pAI1Seru,C+C_energy,Sal+tIMP1SAL,Sal+tRANCESAL,Ser+mMP7Seru,C+C_TbSp,Sal+angiogeninSAL,C+C_runLengthNonunif,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmnet,15,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_rf,20,Af+Af_BSBV,Ser+pAI1Seru,Af+Af_highGreyLevelRun,Ser+tRANCESeru,JS+3D_Sc_Sf_JS,Sal+tIMP1SAL,clinic+RestlessSleep,Af+Af_TbTh,clinic+MuscleSore,C+C_energy,C+C_entropy,Sal+oPGSAL,C+C_lowGreyLevelRun,Sal+tRANCESAL,Sal+eNA78SAL,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,clinic+LowerBackPain,C+C_highGreyLevelRun,clinic+Headache,,,,,,,,,,,,,,,,,,,,
xgbTree_xgbTree,5,clinic+Headache,clinic+RestlessSleep,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_lda2,20,Af+Af_correlation,C+C_longRunHighGrey,Sal+vEGFSAL,Af+Af_shortRunLowGrey,Af+Af_shortRunEmph,C+C_energy,C+C_shortRunEmph,Sal+vECadherinSAL,C+C_correlation,C+C_runLengthNonunif,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Sal+tRANCESAL,C+C_shortRunLowGrey,Af+Af_greyLevelNonunif,Af+Af_BVTV,Af+Af_longRunHighGrey,Af+Af_BSBV,C+C_shortRunHighGrey,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,
xgbTree_nnet,10,C+C_greyLevelNonunif,Af+Af_longRunLowGrey,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_BSBV,Sal+eNA78SAL,C+C_shortRunHighGrey,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmboost,10,Af+Af_longRunLowGrey,Sal+oPGSAL,JS+3D_Sc_Sf_JS,C+C_entropy,C+C_highGreyLevelRun,Sal+eNA78SAL,clinic+Headache,clinic+MouthOpen,Af+Af_shortRunHighGrey,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_glmnet,15,Ser+vEGFSeru,Sal+mMP7SAL,Af+Af_greyLevelNonunif,Sal+eNA78SAL,Sal+tRANCESAL,Sal+oPGSAL,C+C_longRunHighGrey,Sal+angiogeninSAL,C+C_highGreyLevelRun,Ser+eNA78Seru,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Sal+vEGFSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_rf,20,Af+Af_longRunHighGrey,C+C_shortRunLowGrey,C+C_highGreyLevelRun,C+C_energy,Af+Af_runLengthNonunif,C+C_TbN,Af+Af_shortRunLowGrey,Af+Af_shortRunHighGrey,Af+Af_invDiffMoment,Af+Af_highGreyLevelRun,C+C_correlation,clinic+Headache,clinic+LowerBackPain,Af+Af_TbSp,Af+Af_longRunLowGrey,Af+Af_lowGreyLevelRun,Af+Af_BSBV,Af+Af_BVTV,clinic+RestlessSleep,Af+Af_TbTh,,,,,,,,,,,,,,,,,,,,
lda2_xgbTree,15,Af+Af_invDiffMoment,C+C_lowGreyLevelRun,C+C_energy,Af+Af_BVTV,C+C_entropy,Af+Af_shortRunHighGrey,C+C_longRunLowGreys,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_shortRunEmph,Af+Af_entropy,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_correlation,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_nnet,15,Ser+tRANCESeru,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,Ser+eNA78Seru,Sal+mMP7SAL,JS+3D_Sc_Sf_JS,Af+Af_BSBV,clinic+Headache,clinic+LowerBackPain,Sal+angiogeninSAL,Af+Af_BVTV,Af+Af_correlation,Ser+bDNFSeru,Sal+vEGFSAL,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_glmboost,20,Ser+mMP3Seru,C+C_BSBV,C+C_greyLevelNonunif,C+C_highGreyLevelRun,Sal+angiogeninSAL,clinic+LowerBackPain,clinic+RestlessSleep,Af+Af_lowGreyLevelRun,C+C_inertia,Af+Af_energy,Af+Af_correlation,clinic+MouthOpen,Af+Af_invDiffMoment,Af+Af_longRunLowGrey,Sal+eNA78SAL,C+C_TbSp,C+C_lowGreyLevelRun,Af+Af_shortRunLowGrey,C+C_longRunHighGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,
nnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_rf,5,Af+Af_highGreyLevelRun,Af+Af_longRunLowGrey,clinic+RestlessSleep,Af+Af_BVTV,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_xgbTree,5,Af+Af_TbTh,Af+Af_runLengthNonunif,Sal+eNA78SAL,C+C_energy,C+C_lowGreyLevelRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_lda2,15,clinic+Headache,Af+Af_greyLevelNonunif,Af+Af_highGreyLevelRun,Sal+cXCL16SAL,C+C_highGreyLevelRun,Af+Af_longRunEmph,C+C_correlation,Af+Af_runLengthNonunif,Ser+tRANCESeru,Sal+oPGSAL,C+C_longRunHighGrey,Af+Af_shortRunHighGrey,Af+Af_BVTV,C+C_shortRunEmph,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_nnet,10,Ser+bDNFSeru,Af+Af_longRunLowGrey,Af+Af_energy,clinic+RestlessSleep,clinic+MouthOpen,C+C_highGreyLevelRun,Af+Af_BSBV,C+C_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmboost,10,Af+Af_inertia,Ser+vEGFSeru,C+C_lowGreyLevelRun,clinic+LowerBackPain,C+C_shortRunHighGrey,C+C_energy,Af+Af_runLengthNonunif,clinic+MouthOpen,C+C_correlation,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmnet,5,Ser+eNA78Seru,Sal+angiogeninSAL,C+C_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_rf,20,Af+Af_BSBV,Af+Af_TbTh,demo+Age,Ser+pAI1Seru,C+C_entropy,C+C_longRunLowGreys,clinic+MuscleSore,C+C_energy,Sal+eNA78SAL,C+C_lowGreyLevelRun,Sal+oPGSAL,Af+Af_longRunLowGrey,clinic+RestlessSleep,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,Sal+tRANCESAL,C+C_highGreyLevelRun,C+C_correlation,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,
glmboost_xgbTree,10,Af+Af_entropy,C+C_TbTh,C+C_energy,Af+Af_lowGreyLevelRun,Sal+oPGSAL,Ser+mMP3Seru,Ser+oPGSeru,clinic+Headache,C+C_highGreyLevelRun,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_lda2,5,C+C_runLengthNonunif,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_nnet,20,Af+Af_greyLevelNonunif,Af+Af_shortRunEmph,Af+Af_BVTV,C+C_BVTV,C+C_highGreyLevelRun,Sal+eNA78SAL,Af+Af_BSBV,C+C_shortRunHighGrey,Ser+bDNFSeru,Sal+tGFb1SAL,Sal+cXCL16SAL,Sal+oPGSAL,Ser+angiogeninSeru,clinic+RestlessSleep,Sal+tIMP1SAL,Sal+angiogeninSAL,clinic+MouthOpen,Ser+eNA78Seru,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,
glmboost_glmboost,20,Af+Af_greyLevelNonunif,Af+Af_BSBV,C+C_BVTV,Sal+oPGSAL,C+C_TbTh,C+C_highGreyLevelRun,clinic+MuscleSore,Ser+cXCL16Seru,C+C_longRunEmph,Sal+mMP7SAL,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,Af+Af_energy,Af+Af_BVTV,Sal+eNA78SAL,Sal+tRANCESAL,C+C_longRunLowGreys,Ser+oPGSeru,clinic+MouthOpen,clinic+Headache,,,,,,,,,,,,,,,,,,,,
hdda_glmnet,10,Sal+eNA78SAL,Sal+angiogeninSAL,clinic+Headache,Sal+vEGFSAL,Ser+mMP7Seru,clinic+LowerBackPain,Sal+oPGSAL,JS+3D_Sc_Sf_JS,Af+Af_BSBV,C+C_highGreyLevelRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_rf,15,Af+Af_shortRunEmph,C+C_shortRunHighGrey,Af+Af_highGreyLevelRun,clinic+LowerBackPain,demo+Age,Af+Af_longRunLowGrey,Af+Af_BVTV,Af+Af_TbSp,Sal+oPGSAL,JS+3D_Sc_Sf_JS,Sal+tRANCESAL,clinic+MuscleSore,clinic+MouthOpen,clinic+Headache,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_xgbTree,15,Sal+eNA78SAL,Ser+eNA78Seru,Af+Af_highGreyLevelRun,C+C_TbTh,Ser+angiogeninSeru,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_runLengthNonunif,Ser+mMP3Seru,C+C_shortRunLowGrey,clinic+MouthOpen,Af+Af_shortRunEmph,Af+Af_invDiffMoment,clinic+Headache,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_lda2,15,Af+Af_highGreyLevelRun,clinic+MuscleSore,Af+Af_TbSp,Af+Af_BSBV,C+C_highGreyLevelRun,Sal+tGFb1SAL,C+C_TbN,Ser+angiogeninSeru,Af+Af_entropy,Af+Af_BVTV,C+C_BVTV,C+C_lowGreyLevelRun,C+C_BSBV,C+C_energy,C+C_TbSp,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_nnet,5,JS+3D_Sc_Sf_JS,clinic+Headache,clinic+RestlessSleep,Sal+oPGSAL,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmboost,10,C+C_lowGreyLevelRun,C+C_shortRunHighGrey,clinic+MouthOpen,Ser+tRANCESeru,Sal+angiogeninSAL,Af+Af_longRunLowGrey,clinic+RestlessSleep,Sal+tRANCESAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmnet,15,Sal+oPGSAL,Af+Af_shortRunEmph,C+C_shortRunHighGrey,Sal+eNA78SAL,Ser+vEGFSeru,Sal+angiogeninSAL,C+C_highGreyLevelRun,Sal+mMP7SAL,Sal+tIMP1SAL,clinic+LowerBackPain,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,Af+Af_BSBV,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_rf,5,Af+Af_longRunLowGrey,Af+Af_invDiffMoment,Af+Af_lowGreyLevelRun,clinic+Headache,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_xgbTree,15,clinic+Headache,JS+3D_Sc_Sf_JS,Af+Af_greyLevelNonunif,Af+Af_highGreyLevelRun,Af+Af_shortRunEmph,C+C_TbN,Ser+mMP3Seru,Ser+angiogeninSeru,clinic+MuscleSore,Ser+mMP7Seru,Sal+angiogeninSAL,clinic+MouthOpen,Sal+tIMP1SAL,Sal+tGFb1SAL,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_lda2,20,C+C_TbSp,Sal+oPGSAL,clinic+Headache,C+C_longRunHighGrey,Af+Af_highGreyLevelRun,Af+Af_entropy,Af+Af_TbN,Sal+vECadherinSAL,Sal+angiogeninSAL,C+C_BVTV,Sal+vEGFSAL,Af+Af_invDiffMoment,Af+Af_longRunEmph,Af+Af_longRunHighGrey,Af+Af_inertia,Af+Af_longRunLowGrey,Af+Af_energy,Af+Af_TbSp,Af+Af_lowGreyLevelRun,Af+Af_shortRunLowGrey,,,,,,,,,,,,,,,,,,,,
glmnet_nnet,5,Ser+vECadherinSeru,clinic+LowerBackPain,Sal+tIMP1SAL,Af+Af_inertia,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmboost,15,Ser+mMP7Seru,Ser+pAI1Seru,clinic+Headache,C+C_TbTh,Sal+cXCL16SAL,Sal+tRANCESAL,C+C_shortRunHighGrey,Af+Af_longRunLowGrey,C+C_highGreyLevelRun,Ser+bDNFSeru,Ser+cXCL16Seru,Af+Af_greyLevelNonunif,Af+Af_shortRunLowGrey,clinic+MouthOpen,clinic+MuscleSore,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmnet,15,Sal+oPGSAL,Af+Af_shortRunEmph,Sal+eNA78SAL,C+C_shortRunHighGrey,C+C_highGreyLevelRun,Ser+vEGFSeru,Sal+angiogeninSAL,Sal+mMP7SAL,Sal+tIMP1SAL,clinic+LowerBackPain,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,Af+Af_BSBV,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_rf,5,Af+Af_TbTh,Sal+tRANCESAL,clinic+Headache,clinic+LowerBackPain,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_xgbTree,5,Af+Af_TbTh,Af+Af_shortRunHighGrey,C+C_invDiffMoment,clinic+LowerBackPain,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_lda2,20,C+C_runLengthNonunif,Sal+tRANCESAL,C+C_BSBV,Ser+cXCL16Seru,Af+Af_correlation,C+C_inertia,C+C_shortRunLowGrey,Af+Af_highGreyLevelRun,C+C_correlation,Af+Af_runLengthNonunif,C+C_energy,Af+Af_BSBV,C+C_BVTV,Af+Af_longRunLowGrey,Af+Af_longRunHighGrey,Af+Af_longRunEmph,Af+Af_lowGreyLevelRun,C+C_longRunEmph,Af+Af_shortRunEmph,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,
svmLinear_nnet,5,Ser+tIMP1Seru,clinic+RestlessSleep,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmboost,10,Ser+vEGFSeru,Ser+pAI1Seru,Ser+eNA78Seru,Sal+eNA78SAL,Sal+tRANCESAL,Af+Af_longRunLowGrey,clinic+LowerBackPain,clinic+Headache,Sal+vEGFSAL,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmnet,10,Sal+oPGSAL,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,C+C_highGreyLevelRun,Ser+pAI1Seru,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_rf,5,Af+Af_TbSp,clinic+MouthOpen,Af+Af_TbN,clinic+Headache,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_xgbTree,5,clinic+Headache,Sal+angiogeninSAL,Sal+mMP7SAL,clinic+LowerBackPain,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_lda2,5,Af+Af_inertia,C+C_shortRunLowGrey,Sal+tRANCESAL,C+C_longRunLowGreys,Af+Af_longRunLowGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_nnet,5,JS+3D_Sc_Sf_JS,Af+Af_shortRunEmph,Af+Af_greyLevelNonunif,C+C_TbN,Af+Af_TbN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
